params_id,minRecentCount,diffThresholdDays,maxRecentStd,alpha,frequencyDiffThreshold,frequencyRecentWindowDays,change_type_accuracy,interval_change_precision,interval_change_recall,interval_change_f1,frequency_change_precision,frequency_change_recall,frequency_change_f1,overall_change_precision,overall_change_recall,overall_change_f1,cycle_mae,daily_frequency_mae,score
params_3192,3,1.0,2.0,0.9,0.5,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_3195,3,1.0,2.0,0.9,0.7,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_3196,3,1.0,2.0,0.9,0.7,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_4387,4,0.5,2.0,0.9,0.3,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_4388,4,0.5,2.0,0.9,0.3,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_4391,4,0.5,2.0,0.9,0.5,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_4392,4,0.5,2.0,0.9,0.5,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_4395,4,0.5,2.0,0.9,0.7,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_4396,4,0.5,2.0,0.9,0.7,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_4787,4,0.75,2.0,0.9,0.3,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_4788,4,0.75,2.0,0.9,0.3,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_4791,4,0.75,2.0,0.9,0.5,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_4792,4,0.75,2.0,0.9,0.5,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_4795,4,0.75,2.0,0.9,0.7,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_4796,4,0.75,2.0,0.9,0.7,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_5187,4,1.0,2.0,0.9,0.3,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_5188,4,1.0,2.0,0.9,0.3,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_5191,4,1.0,2.0,0.9,0.5,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_5192,4,1.0,2.0,0.9,0.5,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_5195,4,1.0,2.0,0.9,0.7,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_5196,4,1.0,2.0,0.9,0.7,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_6387,5,0.5,2.0,0.9,0.3,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_6388,5,0.5,2.0,0.9,0.3,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_6391,5,0.5,2.0,0.9,0.5,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_6392,5,0.5,2.0,0.9,0.5,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_6395,5,0.5,2.0,0.9,0.7,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_6396,5,0.5,2.0,0.9,0.7,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_6787,5,0.75,2.0,0.9,0.3,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_6788,5,0.75,2.0,0.9,0.3,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_6791,5,0.75,2.0,0.9,0.5,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
params_6792,5,0.75,2.0,0.9,0.5,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.05,0.981746
